Name,Status,Neutral,Warehouse,Latitude,Code,Longitude,SubLevel,LocationType,Area,Volume,Level,LWH,LocationStatus,Location
node10435,active,1,5,2,Q7-CEN-10436,1,,2,Q7,100,1,10x10x10,0,SC10 D 03
node10436,active,1,5,2,Q7-CEN-10437,1,,2,Q7,100,1,10x10x10,0,SC10 D 05
node10437,active,1,5,2,Q7-CEN-10438,1,,2,Q7,100,1,10x10x10,0,SC10 D 07
node10438,active,1,5,2,Q7-CEN-10439,1,,2,Q7,100,1,10x10x10,0,SC10 D 09
node10439,active,1,5,2,Q7-CEN-10440,1,,2,Q7,100,1,10x10x10,1,SC10 D 11
node10440,active,1,5,2,Q7-CEN-10441,1,,2,Q7,100,1,10x10x10,0,SC10 D 12
node10441,active,1,5,2,Q7-CEN-10442,1,,2,Q7,100,1,10x10x10,0,SC10 D 14
node10442,active,1,5,2,Q7-CEN-10443,1,,2,Q7,100,1,10x10x10,0,SC10 D 16
node10443,active,1,5,2,Q7-CEN-10444,1,,2,Q7,100,1,10x10x10,1,SC10 D 18
node10444,active,1,5,2,Q7-CEN-10445,1,,2,Q7,100,1,10x10x10,1,SC10 D 20
node10445,active,1,5,2,Q7-CEN-10446,1,,2,Q7,100,1,10x10x10,0,SC10 D 22
node10446,active,1,5,2,Q7-CEN-10447,1,,2,Q7,100,1,10x10x10,0,SC10 E 01
node10447,active,1,5,2,Q7-CEN-10448,1,,2,Q7,100,1,10x10x10,1,SC10 E 03
node10448,active,1,5,2,Q7-CEN-10449,1,,2,Q7,100,1,10x10x10,0,SC10 E 05
node10449,active,1,5,2,Q7-CEN-10450,1,,2,Q7,100,1,10x10x10,1,SC10 E 07
node10450,active,1,5,2,Q7-CEN-10451,1,,2,Q7,100,1,10x10x10,0,SC10 E 09
node10451,active,1,5,2,Q7-CEN-10452,1,,2,Q7,100,1,10x10x10,1,SC10 E 11
node10452,active,1,5,2,Q7-CEN-10453,1,,2,Q7,100,1,10x10x10,1,SC10 E 12
node10453,active,1,5,2,Q7-CEN-10454,1,,2,Q7,100,1,10x10x10,0,SC10 E 14
node10454,active,1,5,2,Q7-CEN-10455,1,,2,Q7,100,1,10x10x10,0,SC10 E 16
node10455,active,1,5,2,Q7-CEN-10456,1,,2,Q7,100,1,10x10x10,0,SC10 E 18
node10456,active,1,5,2,Q7-CEN-10457,1,,2,Q7,100,1,10x10x10,0,SC10 E 20
node10457,active,1,5,2,Q7-CEN-10458,1,,2,Q7,100,1,10x10x10,0,SC10 E 22
node10458,active,1,5,2,Q7-CEN-10459,1,,2,Q7,100,1,10x10x10,0,SC10 F 01
node10459,active,1,5,2,Q7-CEN-10460,1,,2,Q7,100,1,10x10x10,0,SC10 F 03
node10460,active,1,5,2,Q7-CEN-10461,1,,2,Q7,100,1,10x10x10,0,SC10 F 05
node10461,active,1,5,2,Q7-CEN-10462,1,,2,Q7,100,1,10x10x10,0,SC10 F 07
node10462,active,1,5,2,Q7-CEN-10463,1,,2,Q7,100,1,10x10x10,0,SC10 F 09
node10463,active,1,5,2,Q7-CEN-10464,1,,2,Q7,100,1,10x10x10,0,SC10 F 11
node10464,active,1,5,2,Q7-CEN-10465,1,,2,Q7,100,1,10x10x10,0,SC10 F 12
node10465,active,1,5,2,Q7-CEN-10466,1,,2,Q7,100,1,10x10x10,0,SC10 F 14
node10466,active,1,5,2,Q7-CEN-10467,1,,2,Q7,100,1,10x10x10,0,SC10 F 16
node10467,active,1,5,2,Q7-CEN-10468,1,,2,Q7,100,1,10x10x10,0,SC10 F 18
node10468,active,1,5,2,Q7-CEN-10469,1,,2,Q7,100,1,10x10x10,0,SC10 F 20
node10469,active,1,5,2,Q7-CEN-10470,1,,2,Q7,100,1,10x10x10,0,SC10 F 22
node10470,active,1,5,2,Q7-CEN-10471,1,,2,Q7,100,1,10x10x10,1,SC10 G 01
node10471,active,1,5,2,Q7-CEN-10472,1,,2,Q7,100,1,10x10x10,0,SC10 G 03
node10472,active,1,5,2,Q7-CEN-10473,1,,2,Q7,100,1,10x10x10,1,SC10 G 05
node10473,active,1,5,2,Q7-CEN-10474,1,,2,Q7,100,1,10x10x10,1,SC10 G 07
node10474,active,1,5,2,Q7-CEN-10475,1,,2,Q7,100,1,10x10x10,0,SC10 G 09
node10475,active,1,5,2,Q7-CEN-10476,1,,2,Q7,100,1,10x10x10,0,SC10 G 11
